Fold,Pruning_Strategy,Accuracy,AUC,Precision,Recall
22,Pruned_Top15,0.656050980091095,0.8044465780258179,0.6016260385513306,0.9367088675498962
23,Baseline,0.7834395170211792,0.8466407656669617,0.8082191944122314,0.746835470199585
23,Pruned_All,0.7324841022491455,0.8471274971961975,0.6868686676025391,0.8607594966888428
23,Pruned_Top1,0.7707006335258484,0.8481823205947876,0.7721518874168396,0.7721518874168396
23,Pruned_Top5,0.7324841022491455,0.8471274971961975,0.6868686676025391,0.8607594966888428
23,Pruned_Top10,0.7070063948631287,0.8466406464576721,0.6601941585540771,0.8607594966888428
23,Pruned_Top15,0.7006369233131409,0.8454235792160034,0.6538461446762085,0.8607594966888428
24,Baseline,0.7197452187538147,0.7935734391212463,0.75,0.6538461446762085
24,Pruned_All,0.668789803981781,0.7870010137557983,0.6181818246841431,0.8717948794364929
24,Pruned_Top1,0.7261146306991577,0.7956832051277161,0.7333333492279053,0.7051281929016113
24,Pruned_Top5,0.7070063948631287,0.7862706780433655,0.656862735748291,0.8589743375778198
24,Pruned_Top10,0.662420392036438,0.7863518595695496,0.6126126050949097,0.8717948794364929
24,Pruned_Top15,0.675159215927124,0.788218080997467,0.6261682510375977,0.8589743375778198
25,Baseline,0.7388535141944885,0.8332521915435791,0.7605633735656738,0.692307710647583
25,Pruned_All,0.6305732727050781,0.8066374063491821,0.578125,0.9487179517745972
25,Pruned_Top1,0.7388535141944885,0.828545868396759,0.746666669845581,0.7179487347602844
25,Pruned_Top5,0.7324841022491455,0.8240830302238464,0.7142857313156128,0.7692307829856873
25,Pruned_Top10,0.7579618096351624,0.8209185600280762,0.704081654548645,0.8846153616905212
25,Pruned_Top15,0.6305732727050781,0.8066374063491821,0.578125,0.9487179517745972
